"CRIME HEAD","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"Murder","36202",35290,32716,33608,32719,32481,32318,32766,32369,33335,34305,34434
"Attempt to Commit Murder","31523",30380,25942,27890,28031,27230,27401,28598,29038,29421,31385,35138
"C H Not amounting to Murder","3367",3624,4029,3935,3578,3535,3644,3863,3930,3782,3707,3620
"Rape","16075",16373,15847,18233,18359,19348,20737,21467,21397,22172,24206,24923
"Kidnapping & Abduction","22487",21850,19992,23327,22832,23991,27561,30261,33860,38440,44664,47592
"Dacoity","6154",6101,5303,5311,5141,4747,4579,4530,4586,4358,4285,4314
"Preparation & Assembly for Dacoity","1614",1841,2302,2340,2834,3129,3205,3217,2850,2615,2895,3099
"Robbery","19901",18764,17512,18458,17673,18456,19136,20522,22409,23393,24700,27343
"Burglary","101182",96461,92827,92490,90108,91666,91218,93742,92070,90179,92504,92892
"Theft","252803",247462,245237,273045,273111,274354,285043,316761,324195,330312,340800,337407
"Riots","76222",68945,57334,59971,56235,56641,59915,66018,62942,67571,68500,74633
"Criminal Breach of Trust","14798",14027,13432,14176,13572,13636,15531,16487,16326,16678,17457,17901
"Cheating","44727",46271,47478,51939,53625,58076,65326,66579,72718,78999,87656,94203
"Counterfeiting","1683",1522,2055,1529,2383,2169,2204,2991,2935,2589,2307,2351
"Arson","10534",11820,9365,8637,8451,8480,9024,9249,8736,8508,9064,11836
"Hurt/Grevious Hurt","271487",265025,261444,276868,270861,264748,273067,284969,279214,289022,302847,332324
"Dowry Deaths","6851",6822,6208,7026,6787,7618,8093,8172,8383,8391,8618,8233
"Assault on women with intent to outrage her modesty","34124",33943,32939,34567,34175,36617,38734,40413,38711,40613,42968,45351
"Insult to Modesty of Women","9746",10155,12325,10001,9984,9966,10950,12214,11009,9961,8570,9173
"Cruelty by Husband or his Relatives","49170",49237,50703,58121,58319,63128,75930,81344,89546,94041,99135,106527
"Importation of girls from Foreign Country","114",76,46,89,149,67,61,67,48,36,80,59
"Causing death by negligence","57182",64044,60672,69423,71698,78513,86790,92186,98532,106343,108890,107591
"Other IPC Crimes","701362",730297,700412,741031,741977,779697,829206,856963,865541,924072,966032,966244
"Total IPC Crimes","1769308",1780330,1716120,1832015,1822602,1878293,1989673,2093379,2121345,2224831,2325575,2387188
